Date,Time,Coffee Type,Price,Payment Type,Location
2024-03-15,10:25,Cappuccino,232.2,Card,Location1
2024-01-15,11:26,Cappuccino,232.2,Cash,Location1
2024-04-29,15:01,Cocoa,240.6,Card,Location1
2024-06-29,14:51,Espresso,145.0,Cash,Location1
2024-04-22,16:12,Espresso,145.0,Cash,Location1
2024-04-09,16:59,Cocoa,240.6,Card,Location1
2024-03-14,16:09,Americano,175.2,Cash,Location1
2024-03-18,13:21,Americano with milk,200.8,Card,Location1
2024-01-06,15:43,Americano with milk,200.8,Card,Location1
2024-02-05,17:54,Cappuccino,232.2,Card,Location1
2024-02-14,14:42,Hot Chocolate,232.2,Card,Location1
2024-06-24,20:17,Cocoa,240.6,Cash,Location1
2024-07-03,17:44,Espresso,145.0,Cash,Location1
2024-04-15,12:50,Espresso,145.0,Card,Location1
2024-03-21,18:06,Cocoa,240.6,Cash,Location1
2024-06-03,15:12,Cocoa,240.6,Cash,Location1
2024-02-03,15:55,Hot Chocolate,232.2,Cash,Location1
2024-05-31,12:59,Espresso,145.0,Cash,Location1
2024-02-21,18:20,Cappuccino,232.2,Cash,Location1
2024-01-26,19:36,Americano with milk,200.8,Card,Location1
2024-02-28,11:17,Cappuccino,232.2,Card,Location1
2024-06-25,15:19,Americano with milk,200.8,Card,Location1
2024-04-08,19:25,Espresso,145.0,Card,Location1
2024-06-23,19:13,Americano with milk,200.8,Cash,Location1
2024-01-23,15:50,Latte,215.4,Cash,Location1
2024-01-26,19:16,Latte,215.4,Cash,Location1
2024-03-28,15:15,Americano with milk,200.8,Card,Location1
2024-07-04,21:09,Americano,175.2,Card,Location1
2024-03-29,17:03,Latte,215.4,Card,Location1
2024-06-02,18:45,Hot Chocolate,232.2,Card,Location1
2024-06-19,11:58,Cortado,170.2,Cash,Location1
2024-03-17,13:38,Cortado,170.2,Cash,Location1
2024-06-07,19:32,Latte,215.4,Cash,Location1
2024-06-07,19:36,Cappuccino,232.2,Card,Location1
